Date,Country,Export,Category
2019 Jan,Cambodia(Thousand Dollars),362730,Export
2019 Jan,Brunei Darussalam(Thousand Dollars),101348,Export
2019 Jan,Brazil(Thousand Dollars),184489,Export
2019 Jan,Belgium(Thousand Dollars),491576,Export
2019 Jan,Bangladesh(Thousand Dollars),270988,Export
2019 Jan,Bahrain(Thousand Dollars),12986,Export
2019 Jan,Austria(Thousand Dollars),44319,Export
2019 Jan,Australia(Thousand Dollars),1173554,Export
2019 Jan,Asia(Million Dollars),32195.7,Export
2019 Jan,Argentina(Thousand Dollars),13598,Export
2019 Jan,America(Million Dollars),5055.8,Export
2019 Jan,Africa(Million Dollars),647.4,Export
2019 Jan,Afghanistan(Thousand Dollars),1919,Export
2019 Jul,Yemen(Thousand Dollars),1273,Export
2019 Jul,Yemen Democratic(Thousand Dollars),0,Export
2019 Jul,"Vietnam, Socialist Republic Of(Thousand Dollars)",1403618,Export
2019 Jul,Venezuela(Thousand Dollars),246,Export
2019 Jul,Uruguay(Thousand Dollars),917,Export
2019 Jul,United States(Thousand Dollars),3941283,Export
2019 Jul,United Kingdom(Thousand Dollars),695876,Export
2019 Jul,United Arab Emirates(Thousand Dollars),466984,Export
2019 Jul,Total Merchandise Exports(Thousand Dollars),45390949,Export
2019 Jul,Thailand(Thousand Dollars),1959371,Export
2019 Jul,Taiwan(Thousand Dollars),1802511,Export
2019 Jul,Syrian Arab Republic(Thousand Dollars),330,Export
2019 Jul,Switzerland(Thousand Dollars),570868,Export
2019 Jul,Sweden(Thousand Dollars),13216,Export
2019 Jul,Sri Lanka(Thousand Dollars),81528,Export
2019 Jul,Spain(Thousand Dollars),37808,Export
2019 Jul,Solomon Islands(Thousand Dollars),5281,Export
2019 Jul,Slovenia(Thousand Dollars),2484,Export
2019 Jul,Slovak Republic (Slovakia)(Thousand Dollars),1831,Export
2019 Jul,Saudi Arabia(Thousand Dollars),87015,Export
2019 Jul,Republic Of Korea(Thousand Dollars),1846168,Export
2019 Jul,Qatar(Thousand Dollars),92471,Export
2019 Jul,Puerto Rico(Thousand Dollars),207045,Export
2019 Jul,Portugal(Thousand Dollars),44311,Export
2019 Jul,Poland(Thousand Dollars),51394,Export
2019 Jul,Philippines(Thousand Dollars),1093895,Export
2019 Jul,Peru(Thousand Dollars),5534,Export
